region, Percentage_Deathcount
Malta, 0.35
Turkey, 0.11
United Kingdom, 5.26
Iran, 0.07
Italy, 3.21
United States, 14.94
France, 15.51
China, 0.57
Russia, 1.57
Greece, 0.39
Finland, 0.37
Sweden, 1.83
Denmark, 2.45
Latvia, 0.17
Norway, 1.18
Austria, 4.48
Australia, 4.04
Scotland, 2.77
Vietnam, 0.35
Uganda, 0.15
Bermuda, 0.13
Wales, 0.55
Netherlands, 1.9
Belgium, 2.75
Madagascar, 0.09
Chile, 1.44
Philippines, 0.28
Bulgaria, 0.26
Canada, 1.92
Myanmar, 0.15
Germany, 4.72
Hungary, 0.39
Spain, 2.53
Slovakia, 0.2
Romania, 0.61
Poland, 1.03
Falkland Islands, 0.04
Peru, 0.83
Mexico, 1.53
Ecuador, 0.31
Pakistan, 0.11
Brazil, 0.83
Argentina, 1.42
Ireland, 1.38
Estonia, 0.2
Haiti, 0.33
New Zealand, 1.14
Liberia, 0.22
Switzerland, 1.42
Zimbabwe, 0.02
Czech Republic, 0.5
Thailand, 0.74
Montserrat, 0.2
Colombia, 0.39
Portugal, 0.74
Guernsey, 0.09
Venezuela, 0.48
Sri Lanka, 0.24
Saudi Arabia, 0.02
Mauritania, 0.02
Kosovo, 0.04
Japan, 1.29
Cuba, 0.28
Bolivia, 0.26
Yemen, 0.04
Nepal, 0.09
Solomon Islands, 0.04
Algeria, 0.11
Belarus, 0.02
Iceland, 0.04
El Salvador, 0.13
Costa Rica, 0.15
Puerto Rico, 0.07
Barbados, 0.09
Fiji, 0.07
Gibraltar, 0.09
Isle Of Man, 0.07
India, 0.7
Malaysia, 0.09
South Korea, 0.09
Paraguay, 0.15
Indonesia, 0.04
Dominican Republic, 0.13
Lebanon, 0.15
Luxembourg, 0.13
Greenland, 0.04
Angola, 0.04
South Africa, 0.33
Mauritius, 0.11
Egypt, 0.35
Slovenia, 0.15
Libya, 0.04
Nicaragua, 0.02
Uruguay, 0.33
Liechtenstein, 0.02
Lithuania, 0.22
French Guiana, 0.02
Singapore, 0.04
Croatia, 0.2
Norfolk Island, 0.02
Georgia, 0.04
Nigeria, 0.04
Papua New Guinea, 0.02
Palestine, 0.02
Morocco, 0.04
Tunisia, 0.04
Laos, 0.02
Jersey, 0.09
United Kingdom Northern Ireland, 0.09
Ukraine, 0.07
Pitcairn Islands, 0.02
Sierra Leone, 0.11
Vanuatu, 0.02
Sudan, 0.04
Monaco, 0.09
Iraq, 0.02
Honduras, 0.07
Guatemala, 0.24
Syria, 0.04
Panama, 0.02
Serbia, 0.11
Namibia, 0.02
Bangladesh, 0.04
Senegal, 0.02
Samoa, 0.02
Niger, 0.02
Saint Helena, 0.02
Kyrgyzstan, 0.02
Brunei, 0.02
Azerbaijan, 0.04
Afghanistan, 0.02
Seychelles, 0.02
French Polynesia, 0.07
Ethiopia, 0.04
Oman, 0.02
Montenegro, 0.02
Cook Islands, 0.02
Suriname, 0.02
